NR	Created	Modified		What is your Prolific ID?	Please indicate the type of touch you received by selecting the corresponding field, or by entering an alternative answer.	Other (please specify)	Who was the interaction partner in this touch experience?	Other (please specify)	Who took the initiative?	What was the (presumed) intention of the touch?	Why was the touch experience negative?	Click the picture that best describes your current relationship with the interaction partner (i.e., other).												Using your own words, give a short description of the location and situation in which the touch occurred (e.g., “sitting on a bench in the bus”):	That I was successfully completing difficult tasks and projects.	That I was experiencing new sensations and activities.	A sense of contact with people who care for me, and whom I care for.	That I was &#34;becoming who I really am.&#34;	That my life was structured and predictable.	That I was a person whose advice others seek out and follow.	That my choices were based on my true interests and values.	That I had many positive qualities.	Close and connected with other people who are important to me.	Intense physical pleasure and enjoyment.	That I got enough exercise and was in excellent physical condition.	That I was taking on and mastering hard challenges.	A sense of deeper purpose in life.	Glad that I have a comfortable set of routines and habits.	A strong sense of self-respect.	That I strongly influenced others&#39; beliefs and behavior.	That my body was getting just what it needed.	Free to do things my own way.	Quite satisfied with who I am.	That I had found new sources and types of stimulation for myself.	Safe from threats and uncertainties.	A strong sense of physical well-being.	Very capable in what I did.	That my choices expressed my &#34;true self.&#34;	A deeper understanding of myself and my place in the universe.	That I had strong impact on what other people did.	A strong sense of intimacy with the people I spent time with.	Interested	Distressed	Excited	Upset	Strong	Guilty	Scared	Hostile	Enthusiastic	Proud	Irritable	Alert	Ashamed	Inspired	Nervous	Determined	Attentive	Jittery	Active	Afraid	Age:	Gender:	Gender (if you prefer to type):	Elapsed time
21603264	12.06.2022 14:21	12.06.2022 14:21	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	609182ac9d9b6b4e17c6bf33	Caress		Colleague		The interaction partner mainly took the initiative	Plutonic sign of affection/comraderie	Because I am sexually attracted to that colleague and it made me think/want things I shouldn't	..	9	8	3	3	4	5	10		3		2	Sitting at a table in a meeting room	Not at all	Moderately	Quite a bit	Not at all	Not at all	Quite a bit	A little	Quite a bit	Moderately	Very much	Not at all	Not at all	A little	Not at all	Not at all	Quite a bit	Moderately	Not at all	Not at all	Quite a bit	Quite a bit	Quite a bit	Not at all	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	A little (2)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	36	Male		8 minutes 18 seconds
21603265	12.06.2022 14:21	12.06.2022 14:21	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5e5e7af6b546a8000bee3f29	Hand on the shoulder		Colleague		The interaction partner mainly took the initiative	I’m not sure to be honest, I think it was a friendly enough gesture, but it made me feel uncomfortable.	It made me feel trapped as I was seated at the time.	.	9	4	4	2	4	2	10		4		0	I was seated at work when a male colleague put his arm across the back of my seat, leaning on it, and his hand touched my shoulder.	Very much	Not at all	Not at all	Not at all	Moderately	Quite a bit	Moderately	A little	Not at all	Not at all	Not at all	A little	Not at all	Moderately	A little	A little	Not at all	Not at all	A little	Not at all	Not at all	Not at all	A little	Moderately	Not at all	Not at all	Not at all	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	Moderately (3)	Quite a bit (4)	Not at all (1)	Not at all (1)	Quite a bit (4)	Extremely (5)	Not at all (1)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Extremely (5)	Quite a bit (4)	Moderately (3)	Quite a bit (4)	50	Female		9 minutes 8 seconds
21603266	12.06.2022 14:21	12.06.2022 14:21	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5e8bd52e7dde400beac54842	Kiss		Colleague		The interaction partner mainly took the initiative	Intention was to just pass by as space was limited	Because it wasn't meant to happen, we were dodging left and right and then suddenly this happeend	.	4	4	4	3	1	1	6		10		0	At a workplace while working in the kitchen at the back	Very much	Moderately	Not at all	Very much	Very much	Very much	Very much	Very much	Very much	Moderately	A little	Very much	Quite a bit	Very much	Very much	Very much	A little	Very much	Quite a bit	Very much	Very much	Moderately	Very much	Very much	Moderately	Quite a bit	Very much	Moderately (3)	Not at all (1)	Moderately (3)	A little (2)	Quite a bit (4)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Extremely (5)	A little (2)	Not at all (1)	A little (2)	Extremely (5)	Extremely (5)	Not at all (1)	Extremely (5)	Moderately (3)	28	Male		9 minutes 8 seconds
21603270	12.06.2022 14:22	12.06.2022 14:22	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	629f2edb4e2e1d417c524cb7	Hand on the shoulder		Acquaintance		The interaction partner mainly took the initiative	Just to act like a bit of a lad	Don't feel close enough to the person for them to touch me	..	3	3	8	2	2	2	5		6		0	In a club	Moderately	A little	Not at all	Not at all	Not at all	A little	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	A little	A little	Not at all	Not at all	A little	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	19	Male		9 minutes 19 seconds
21603271	12.06.2022 14:22	12.06.2022 14:22	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5dde894d83e309df96b835a2	Caress		Partner		The interaction partner mainly took the initiative	expression of affection	Because it involved a body part that I do not like other people to touch and it made me uncomfortable	.....	7	5	5	4	4	8	9	Not applicable	2		3	laying on his bed	Not at all	Moderately	Very much	Not at all	Not at all	A little	Not at all	Moderately	Quite a bit	A little	Not at all	Not at all	Not at all	Not at all	A little	A little	Not at all	Moderately	Not at all	Not at all	A little	Not at all	Not at all	Not at all	A little	A little	Moderately	A little (2)	Moderately (3)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Moderately (3)	A little (2)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	24	Female		6 minutes 8 seconds
21603272	12.06.2022 14:22	12.06.2022 14:22	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5c8cfc3772503f0001e9c965	Handshake		Acquaintance		We both took the initiative	Greeting after a long time since we last met	he has such a limp unmanly handshake - I had forgotten how awful it is	.	10	1	1	1	2	9	2		5		8	At a wedding at a Hotel- I did not expect to see hm there.	Not at all	Not at all	Not at all	Not at all	Not at all	Moderately	A little	Moderately	Moderately	Not at all	A little	Not at all	Not at all	Moderately	Moderately	A little	A little	Moderately	Moderately	A little	Moderately	A little	Moderately	A little	A little	A little	Moderately	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	64	Male		8 minutes 59 seconds
21603274	12.06.2022 14:23	12.06.2022 14:23	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	58ae2cb09e040a000139af76	Hand on the shoulder		Colleague		The interaction partner mainly took the initiative	Friendly gesture	I just hate when people touch me on my shoulders i just dont know but when someone touches me on the shoulder i just get really annoyed and sometimes angry but i don't show it	.....	6	1	5	1	2	8	1	Not applicable	5		9	When i was at my work sitting on a chair eating	Very much	A little	Quite a bit	A little	Quite a bit	A little	Very much	Moderately	Very much	Moderately	Quite a bit	A little	A little	A little	Moderately	Moderately	Not at all	Quite a bit	Moderately	A little	Quite a bit	Quite a bit	A little	A little	A little	A little	A little	Moderately (3)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Quite a bit (4)	Not at all (1)	Not at all (1)	Quite a bit (4)	Moderately (3)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Quite a bit (4)	Not at all (1)	Moderately (3)	30	Male		9 minutes 52 seconds
21603276	12.06.2022 14:23	12.06.2022 14:23	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60534ad8f7872caee17c7a96	Kiss		Partner		The interaction partner mainly took the initiative	To kiss hello in the morning	Because my partner had wet lips	...	7	3	3	3	2	9	2		6		10	In the bedroom when I had got up.  I was standing up my partner came into the bedroom	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	62	Female	Female	9 minutes 36 seconds
21603277	12.06.2022 14:24	12.06.2022 14:24	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5bc7a4433dec25000138c626	Handshake		Stranger		I mainly took the initiative	I initiated it to introduce myself to make it courteous.	The handshake is too flaccid and the abruptly pulled way while we were in middle of the handshake.	.....	5	8	9	10	8	9	7	Not applicable	7		8	I was in the pub sitting down with friends when we were introduced by a friends.	Very much	A little	Moderately	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	Very much	Quite a bit	Quite a bit	Very much	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Quite a bit	Moderately	Very much	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit (4)	A little (2)	Moderately (3)	Moderately (3)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	42	Male		11 minutes 28 seconds
21603279	12.06.2022 14:24	12.06.2022 14:24	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60c29201092d523e3b08a603	Handshake		Acquaintance		I mainly took the initiative	To be friendly	They were not a nice person.	..	2	2	3	2	1	6	6	Not applicable	6		5	In the lunch room at work.	Moderately	A little	Not at all	A little	A little	Moderately	Moderately	Moderately	Moderately	Not at all	A little	A little	A little	A little	A little	A little	Not at all	Moderately	A little	Not at all	A little	A little	A little	A little	A little	A little	Not at all	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	36	Male		11 minutes 12 seconds
21603283	12.06.2022 14:25	12.06.2022 14:25	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	615734ed123678d99cc6c3ee	Hand on the shoulder		Stranger		The interaction partner mainly took the initiative	Probably just to be friendly	Because they were a stranger	.	2	2	4	2	2	2	1	Not applicable	2		1	Sitting in a cafe	Not at all	A little	Not at all	Not at all	A little	Moderately	A little	Moderately	Moderately	Not at all	Not at all	Moderately	A little	Quite a bit	Quite a bit	Moderately	Not at all	Not at all	A little	Not at all	Not at all	Moderately	Moderately	Quite a bit	Moderately	Moderately	Quite a bit	Not at all (1)	Extremely (5)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	A little (2)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Moderately (3)	Not at all (1)	Quite a bit (4)	Moderately (3)	A little (2)	Extremely (5)	A little (2)	Quite a bit (4)	55	Female		11 minutes 38 seconds
21603285	12.06.2022 14:26	12.06.2022 14:26	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5c4a5c2d4d1b1e0001779e60	Hug		Acquaintance		The interaction partner mainly took the initiative	to express affection	I did not feel any affection towards this person	.	4	2	8	1	5	2	5		5		0	in my back garden, giving a cup of coffee to the workman painting my garden fence	Not at all	Not at all	Not at all	Not at all	A little	A little	Moderately	Moderately	Not at all	Not at all	A little	Not at all	Not at all	Quite a bit	Quite a bit	A little	Not at all	Not at all	Moderately	Not at all	Not at all	Not at all	A little	Moderately	Not at all	A little	Not at all	Not at all (1)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	A little (2)	Not at all (1)	Moderately (3)	Quite a bit (4)	Not at all (1)	Not at all (1)	Moderately (3)	Quite a bit (4)	A little (2)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	A little (2)	A little (2)	Quite a bit (4)	65	Female		12 minutes 25 seconds
21603287	12.06.2022 14:26	12.06.2022 14:26	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60b4ae00a553ce01ecec6699	Hand on the shoulder		Friend		The interaction partner mainly took the initiative	Flirting	Because it made me feel uncomfortable knowing that he fancies me and I don't feel the same way so didn't appreciate him keep trying to put his arm round my shoulder	.	7	4	6	3	3	6	6	Not applicable		Not applicable	2	We was at a bar with a group of his friends	Very much	Not at all	A little	Moderately	Moderately	A little	Moderately	A little	A little	A little	A little	A little	A little	Moderately	Moderately	Not at all	A little	Very much	Not at all	A little	Very much	Moderately	Quite a bit	Quite a bit	Moderately	A little	Not at all	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	31	Male	Male	13 minutes 53 seconds
21603291	12.06.2022 14:28	12.06.2022 14:28	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	605c935e95a118608636b249	Hand on the shoulder		Partner		The interaction partner mainly took the initiative	Perhaps to connect and share commonality	I wasn't expecting it and it is a bit one-sided as I was the one being leant on	.	5	4	4	4	4	6	5	Not applicable	5		2	standing in the kitchen looking out at the garden	A little	Not at all	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Very much	Very much	Quite a bit	A little	Moderately	Quite a bit	Very much	Very much	Very much	Very much	Quite a bit	Very much	Very much	Very much	Quite a bit	Very much	Very much	Very much	Very much	Very much	Quite a bit	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	A little (2)	Quite a bit (4)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	45	Female		15 minutes 33 seconds
21603292	12.06.2022 14:28	12.06.2022 14:28	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	627a83761978ca1469e6e750	Handshake		Stranger		The interaction partner mainly took the initiative	To say thank you	It was from a person who I didn't like and they were unclean	.	6	3	5	3	2	5	8		6		3	In a car as the other person was leaving	Quite a bit	A little	Not at all	Not at all	Not at all	Quite a bit	Quite a bit	Quite a bit	Moderately	Not at all	A little	Moderately	A little	Moderately	Quite a bit	Quite a bit	Not at all	Moderately	Quite a bit	A little	Moderately	A little	Quite a bit	Not at all	Not at all	Quite a bit	Not at all	Moderately (3)	A little (2)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Moderately (3)	A little (2)	Quite a bit (4)	A little (2)	Not at all (1)	A little (2)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	36	Male		8 minutes 54 seconds
21603296	12.06.2022 14:29	12.06.2022 14:29	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5eac0b9a3617310432c834a1	Caress		Acquaintance		The interaction partner mainly took the initiative	To stop me buying a drink	Because he asked e to have a drink with him and I'd said no. He was too insistent that I let him buy me a drink, when I didn't want anything to do with him.	...	4	3	7	2	2	2	10		7		5	In a local pub	Not at all	Not at all	Quite a bit	Not at all	A little	Moderately	Very much	Very much	Very much	Not at all	A little	Quite a bit	Moderately	Not at all	Very much	A little	Not at all	Quite a bit	Very much	Not at all	A little	Moderately	Quite a bit	Very much	A little	A little	Moderately	Not at all (1)	Moderately (3)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Quite a bit (4)	Moderately (3)	Extremely (5)	Not at all (1)	Not at all (1)	Moderately (3)	Extremely (5)	Extremely (5)	A little (2)	Moderately (3)	Not at all (1)	71	Female		17 minutes 6 seconds
21603319	12.06.2022 14:40	12.06.2022 14:40	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5ea2462990d52b150bc75189	Hand on the shoulder		Acquaintance		The interaction partner mainly took the initiative	to get closer	it was unexpected	..	8	5	3	4	2	4	8	Not applicable		Not applicable	1	while working on the street	Not at all	A little	A little	Not at all	Quite a bit	A little	Quite a bit	Quite a bit	Moderately	Not at all	A little	Not at all	A little	Moderately	Moderately	Moderately	A little	Moderately	Moderately	Moderately	Moderately	A little	Moderately	Moderately	Moderately	A little	A little	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	23	Female		24 minutes
21603357	12.06.2022 14:51	12.06.2022 14:51	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60c5165878a82f763c29536a	Hand on the shoulder		Colleague		The interaction partner mainly took the initiative	to congratulate on winning	i am not used to being touched like this.	...	8	8	8	8	8	8	9		8		9	on a football pitch.	Very much	Very much	Moderately	Moderately	Moderately	A little	Moderately	A little	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	A little	Moderately	Moderately	Moderately	Moderately	A little	Moderately	A little	A little	A little	A little	Not at all	A little (2)	Quite a bit (4)	Moderately (3)	A little (2)	A little (2)	Not at all (1)	A little (2)	A little (2)	A little (2)	Not at all (1)	A little (2)	Moderately (3)	A little (2)	A little (2)	Moderately (3)	A little (2)	A little (2)	A little (2)	A little (2)	A little (2)	26	Male		38 minutes 19 seconds
21603359	12.06.2022 14:52	12.06.2022 14:52	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5996d2256b939900012d9f22	Caress		Acquaintance		The interaction partner mainly took the initiative	To feel me up.	He stroked my hips, and felt up my backside. Dragged me into a hug that involved me being pulled on top of him. Holding my hand and not letting go and finally kissing me on the lips.	.	2	1	9	2	8	1	4		3		3	I went to visit a “lonely “  elderly neighbour	Moderately	Not at all	Not at all	A little	Not at all	Moderately	Not at all	Moderately	A little	Not at all	Not at all	Very much	Quite a bit	Not at all	A little	Moderately	Not at all	Not at all	Moderately	A little	Not at all	Not at all	A little	Moderately	Moderately	Quite a bit	Not at all	Not at all (1)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	A little (2)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	Quite a bit (4)	Extremely (5)	Moderately (3)	Not at all (1)	Moderately (3)	Extremely (5)	Extremely (5)	Moderately (3)	A little (2)	Moderately (3)	36	Female		6 minutes 36 seconds
