NR	Created	Modified		What is your Prolific ID?	Please indicate the type of touch you received by selecting the corresponding field, or by entering an alternative answer.	Other (please specify)	Who was the interaction partner in this touch experience?	Other (please specify)	Who took the initiative?	What was the (presumed) intention of the touch?	Why was the touch experience positive?	Click the picture that best describes your current relationship with the interaction partner (i.e., other).												Using your own words, give a short description of the location and situation in which the touch occurred (e.g., “sitting on a bench in the bus”):	That I was successfully completing difficult tasks and projects.	That I was experiencing new sensations and activities.	A sense of contact with people who care for me, and whom I care for.	That I was &#34;becoming who I really am.&#34;	That my life was structured and predictable.	That I was a person whose advice others seek out and follow.	That my choices were based on my true interests and values.	That I had many positive qualities.	Close and connected with other people who are important to me.	Intense physical pleasure and enjoyment.	That I got enough exercise and was in excellent physical condition.	That I was taking on and mastering hard challenges.	A sense of deeper purpose in life.	Glad that I have a comfortable set of routines and habits.	A strong sense of self-respect.	That I strongly influenced others&#39; beliefs and behavior.	That my body was getting just what it needed.	Free to do things my own way.	Quite satisfied with who I am.	That I had found new sources and types of stimulation for myself.	Safe from threats and uncertainties.	A strong sense of physical well-being.	Very capable in what I did.	That my choices expressed my &#34;true self.&#34;	A deeper understanding of myself and my place in the universe.	That I had strong impact on what other people did.	A strong sense of intimacy with the people I spent time with.	Interested	Distressed	Excited	Upset	Strong	Guilty	Scared	Hostile	Enthusiastic	Proud	Irritable	Alert	Ashamed	Inspired	Nervous	Determined	Attentive	Jittery	Active	Afraid	Age:	Gender:	Gender (if you prefer to type):	Elapsed time
21602433	12.06.2022 13:03	12.06.2022 13:03	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5e47e2ba8b051d28255d9c7c	Hug		Colleague		The interaction partner mainly took the initiative	to show support and soothe me	totally unexpected from quite an aloof boss	...	5	7	7	7	2	7	9		9		1	out front of my workplace, in passing	Quite a bit	Not at all	Moderately	Not at all	Not at all	Moderately	Moderately	Quite a bit	Moderately	Not at all	Not at all	Quite a bit	Moderately	Not at all	Quite a bit	Moderately	Moderately	Not at all	Moderately	Not at all	Moderately	Moderately	A little	A little	Not at all	A little	Moderately	Quite a bit (4)	A little (2)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	Quite a bit (4)	A little (2)	45	Female		12 minutes 55 seconds
21602434	12.06.2022 13:03	12.06.2022 13:03	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	6298afc6ccdc1efa000996b0	Hug		Family member		We both took the initiative	For support	Relieved stress	.....	7	8	8	9	9	9	6		5		8	Standing in garden	Not at all	A little	Quite a bit	A little	Moderately	Quite a bit	A little	Quite a bit	Moderately	Not at all	A little	A little	A little	Moderately	Moderately	Moderately	A little	Quite a bit	Quite a bit	Moderately	A little	Quite a bit	Quite a bit	Quite a bit	A little	A little	Moderately	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	28	Male		13 minutes 59 seconds
21602460	12.06.2022 13:05	12.06.2022 13:05	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	603c124974df2e8f9f375fa8	Hug		Family member		The interaction partner mainly took the initiative	To provide care and security	It was an unplanned closeness between myself and my son	......	10	10	10	10	7	10	6	Not applicable	4		0	sitting at home on the sofa	Not at all	Not at all	Very much	Very much	A little	Not at all	Moderately	Very much	Very much	Very much	Not at all	Very much	Very much	Moderately	Very much	Very much	Very much	Not at all	Very much	Not at all	Quite a bit	Quite a bit	Very much	A little	Very much	Very much	Very much	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Quite a bit (4)	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	38	Female		6 minutes 57 seconds
21602462	12.06.2022 13:05	12.06.2022 13:05	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5ceac2dd06aa230001363420	Hug		Friend		We both took the initiative	Greeting	Felt loving	......	8	9	8	9	3	9	6		5		8	At the seaside	A little	Moderately	Very much	A little	Quite a bit	A little	Quite a bit	Quite a bit	Very much	Very much	A little	Quite a bit	Moderately	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Quite a bit	A little	Quite a bit	Very much	Moderately	Quite a bit	Moderately	Moderately	Quite a bit	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	52	Female		11 minutes 13 seconds
21602466	12.06.2022 13:06	12.06.2022 13:06	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5f2bffa8d4f0d601244ab240	Hug		Partner		The interaction partner mainly took the initiative	to comfort me	i remember that the situation was stressful and for my partner to hug me and hold me showed me that she cared about me and this brought me a lot of comfort in a stressful moment	......	4	5	4	6	8	9	6	Not applicable	3		5	we were in the middle of a busy street on holiday in a foreign country snd we were both very stressed about the situation	A little	Quite a bit	Very much	Not at all	A little	Quite a bit	Quite a bit	Quite a bit	Very much	Quite a bit	A little	Moderately	Very much	A little	A little	Quite a bit	A little	Moderately	Moderately	Quite a bit	Moderately	A little	A little	Moderately	A little	Moderately	Very much	A little (2)	Moderately (3)	A little (2)	A little (2)	Moderately (3)	Moderately (3)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Quite a bit (4)	A little (2)	Moderately (3)	Quite a bit (4)	Moderately (3)	A little (2)	Moderately (3)	A little (2)	A little (2)	22	Female		16 minutes 55 seconds
21602467	12.06.2022 13:06	12.06.2022 13:06	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	594abd98215cbd000146debc	Hug		Partner		We both took the initiative	Feeling close sharing a moment together feelings of content and comfort	Yes	......	10	10	6	10	6	9	5	Not applicable	2		5	In the kitchen making drinks	Not at all	Not at all	Very much	Moderately	Not at all	Not at all	Moderately	Quite a bit	Very much	Quite a bit	Not at all	Not at all	Moderately	Moderately	Quite a bit	Not at all	Very much	Quite a bit	Quite a bit	Not at all	Very much	Quite a bit	Quite a bit	Moderately	Moderately	A little	Very much	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	53	Female		11 minutes 1 second
21602468	12.06.2022 13:07	12.06.2022 13:07	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	6050835a7dbf1e0d8bef47d0	Hug		Colleague		The interaction partner mainly took the initiative	As a goodbye before they left	Because they were a previous colleague that had left for a new role. I was surprised that they still remembered me and were fond of me. I haven’t been hugged in a long time so it was nice especially from a work colleague where relationships are more formal.	.	8	8	4	9	4	8	3		3		4	A goodbye from the person before they left this party. To say goodbye because it’s unlikely we’ll see each other again soon.	Not at all	Moderately	A little	Not at all	Not at all	Not at all	A little	Moderately	A little	Moderately	Not at all	Not at all	A little	A little	Moderately	A little	A little	Not at all	Moderately	Quite a bit	Not at all	A little	Not at all	Not at all	A little	A little	Moderately	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	A little (2)	A little (2)	A little (2)	Not at all (1)	24	Male		8 minutes 38 seconds
21602472	12.06.2022 13:07	12.06.2022 13:07	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5c5caa79cfdd2800011fc34f	Hug		Friend		We both took the initiative	We both had not had a hug since the pandemic and so decided to have a cuddle	It made us both feel secure comforted loved calm and not alone.	......	10	10	10	10	10	10	1	Not applicable	0		0	We met outside my house for a distanced drink on out front garden bench. We talked for hours as we had not seen each other since 2020 and had no human contact still and now its 2022 so no touching nothing. We talked about this and said should we have a hug then both agreed and it went into a long intimate cuddle with hand rubs and full body contact. It was wonderful and electric and made us both feel complete and ended up with us staying that way for hours on end. I loved it and so did she.	Very much	Very much	Very much	Very much	Not at all	Moderately	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Not at all	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Not at all	Very much	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Extremely (5)	Quite a bit (4)	Extremely (5)	Extremely (5)	Extremely (5)	Extremely (5)	Not at all (1)	37	Male		17 minutes 17 seconds
21602475	12.06.2022 13:09	12.06.2022 13:09	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5e5c0ea5e4be803f12156511	Hug		Partner		We both took the initiative	A hug to say good morning	I love my partner, our connection is strong, a hug makes things better	......	10	10	10	10	6	10	5		3		10	At home, living room	Not at all	A little	Very much	Moderately	Very much	Moderately	Very much	Very much	Very much	Very much	Moderately	Moderately	Very much	Very much	Quite a bit	Moderately	Very much	Very much	Quite a bit	Moderately	Very much	Very much	Very much	Very much	Very much	Quite a bit	Very much	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	31	Female		12 minutes 58 seconds
21602476	12.06.2022 13:09	12.06.2022 13:09	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5c0873675b32d500012e3f2c	Hug		Partner		The interaction partner mainly took the initiative	To comfort me	It showed that somebody cared about me	......	8	8	8	8	7	9	7	Not applicable		Not applicable	7	Sitting in the kitchen at home	Not at all	Not at all	Very much	A little	Not at all	Not at all	A little	Moderately	Very much	A little	Not at all	Not at all	Not at all	Not at all	Moderately	A little	Quite a bit	Moderately	Moderately	Not at all	Quite a bit	Moderately	Not at all	Moderately	Not at all	Quite a bit	Moderately	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	60	Female		18 minutes 29 seconds
21602481	12.06.2022 13:10	12.06.2022 13:10	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60e2f29d1b210b7492202572	Hug		Family member		We both took the initiative	Saying goodbye	my sister hugs feel so warm	....	10	10	5	10	7	10	5		3		9	leaving her house	Not at all	Not at all	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Very much	Quite a bit	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Extremely (5)	Extremely (5)	Moderately (3)	Extremely (5)	A little (2)	41	Male	m	20 minutes 32 seconds
21602484	12.06.2022 13:11	12.06.2022 13:11	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5f33ef6fec8505257de5581e	Hug		Family member		We both took the initiative	Love	Had not seen for a while	.....	9	8	5	9	7	9	5	Not applicable	4		8	In home in living room	Moderately	Not at all	Very much	Not at all	A little	Not at all	A little	A little	Moderately	A little	Not at all	Not at all	A little	Not at all	A little	Not at all	A little	Not at all	A little	Not at all	Quite a bit	A little	Not at all	Not at all	Not at all	A little	Moderately	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	24	Male		20 minutes 50 seconds
21602485	12.06.2022 13:11	12.06.2022 13:11	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5ea19dcac30e0005e6e6b6e3		hand shake that fell into a hug	Friend		I mainly took the initiative	to apologise and make amends	my apology was accepted by the fact he drew me into a  hug and within moments all was right again between us.	......	8	7	9	9	8	9	9		8		6	we were in a clubhouse bar meeting to resolve recent issues	Quite a bit	Not at all	Quite a bit	Moderately	A little	Quite a bit	Very much	Very much	Quite a bit	A little	Quite a bit	Very much	Moderately	Moderately	Very much	Quite a bit	Moderately	Very much	Very much	Quite a bit	Very much	Quite a bit	Very much	Very much	Moderately	Moderately	A little	Quite a bit (4)	A little (2)	Not at all (1)	Not at all (1)	Quite a bit (4)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	Quite a bit (4)	A little (2)	Not at all (1)	Not at all (1)	Extremely (5)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	62	Male		21 minutes 10 seconds
21602489	12.06.2022 13:13	12.06.2022 13:13	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	61bb36cf40db417c1a138920	Hug		Partner		We both took the initiative	sharing love	we felt connected	......	9	10	9	1	10	1	1	Not applicable	5		10	sitting on sofa in our living room	Not at all	Not at all	Very much	Very much	A little	Moderately	Very much	Very much	Very much	Very much	Moderately	Not at all	Very much	Very much	Very much	A little	Very much	Very much	Very much	Not at all	Very much	Very much	Very much	Very much	Very much	A little	Very much	Extremely (5)	Extremely (5)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	A little (2)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	43	Female		22 minutes 35 seconds
21602507	12.06.2022 13:18	12.06.2022 13:18	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5f0a414ff08fe631710e3ce8	Caress		Friend		The interaction partner mainly took the initiative	Reassurance	Hard desired effect	.....	7	6	5	5	7	7	6	Not applicable	4		4	Sitting on bench in park	Moderately	A little	Quite a bit	A little	A little	Moderately	A little	A little	A little	Moderately	Moderately	A little	Not at all	Moderately	Moderately	Moderately	Quite a bit	Moderately	A little	Quite a bit	Quite a bit	Moderately	Moderately	A little	A little	Moderately	Quite a bit	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	A little (2)	A little (2)	A little (2)	A little (2)	Moderately (3)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	40	Male		28 minutes 18 seconds
21602522	12.06.2022 13:19	12.06.2022 13:19	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5f54e7209fbb9686658ca1e9	Hand on the shoulder		Friend		The interaction partner mainly took the initiative	To say congratulations	It made me feel good	....	8	10	9	8	2	10	10		5		1	In the pub with friends	Moderately	Not at all	Quite a bit	Moderately	Not at all	A little	Moderately	Quite a bit	Moderately	Not at all	Not at all	Not at all	Not at all	A little	A little	Not at all	A little	Moderately	Moderately	Moderately	A little	A little	A little	A little	A little	Moderately	Moderately	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Quite a bit (4)	Not at all (1)	39	Male		28 minutes 43 seconds
21602588	12.06.2022 13:26	12.06.2022 13:26	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5de6cfc6b5bed765473c624b	Hug		Partner		We both took the initiative	Comfort because I was upset	It helped me feel better	......	10	10	10	10	7	10	10		2		10	Lying down in bed	Not at all	Not at all	Very much	Not at all	Not at all	A little	Not at all	Very much	Very much	A little	Not at all	Not at all	Very much	Quite a bit	A little	A little	Very much	A little	A little	A little	Very much	Very much	A little	A little	Quite a bit	Moderately	Very much	Extremely (5)	Quite a bit (4)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Moderately (3)	29	Female		35 minutes 37 seconds
21603067	12.06.2022 13:47	12.06.2022 13:47	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	605900798c7f5f73df2e89fa	Hug		Friend		The interaction partner mainly took the initiative	to comfort	made me feel better	....	8	9	6	8	8	8	6	Not applicable		Not applicable	8	in corridor	Moderately	Not at all	Very much	Not at all	A little	Moderately	Moderately	Quite a bit	Quite a bit	A little	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Not at all	A little	Not at all	Not at all	A little	A little	Not at all	Not at all	Not at all	Moderately	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	24	Female		57 minutes 34 seconds
21603121	12.06.2022 13:56	12.06.2022 13:56	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60e0687e08d77efdaa4e9aa8	Hug		Friend		The interaction partner mainly took the initiative	To make me feel better/calm me down	Because I was panicking and this person gave me a hug in order to reassure me that everything was okay/they were there for me	...	9	8	7	8	6	8	5	Not applicable	4		4	Standing in a hotel room in London	Not at all	A little	Quite a bit	A little	A little	Moderately	A little	Moderately	Very much	Moderately	Not at all	Quite a bit	Moderately	Not at all	A little	A little	Quite a bit	A little	A little	A little	Moderately	A little	Moderately	A little	A little	Moderately	Moderately	Moderately (3)	A little (2)	Moderately (3)	Moderately (3)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	A little (2)	Quite a bit (4)	A little (2)	Quite a bit (4)	Extremely (5)	A little (2)	Quite a bit (4)	A little (2)	Quite a bit (4)	22	Female		9 minutes 44 seconds
21603129	12.06.2022 13:59	12.06.2022 13:59	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5f3ec6221b5af3158bc86acd	Hug		Family member		The interaction partner mainly took the initiative	To say good night	Made me smile	....	9	10	6	9	7	10	5		7		4	sitting on the sofa	Not at all	Not at all	Very much	A little	Not at all	Moderately	Moderately	Moderately	Quite a bit	Not at all	Not at all	Not at all	Moderately	A little	A little	Quite a bit	Moderately	A little	A little	A little	Quite a bit	Quite a bit	Moderately	Quite a bit	Moderately	Moderately	Moderately	Moderately (3)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	20	Female		12 minutes 7 seconds
